ds,yhat
2018-03-12,2222149.3234266583
2018-03-13,2118554.0953038363
2018-03-14,2159505.7082058312
2018-03-15,2064447.2914925632
2018-03-16,2355156.3043032265
2018-03-17,3669278.624732934
2018-03-18,3829921.2974527837
2018-03-19,2066886.6637511887
2018-03-20,1957584.8820204576
2018-03-21,1994898.9488734647
2018-03-22,1898456.1740208976
2018-03-23,2190139.0481977966
2018-03-24,3507614.057507444
2018-03-25,3673922.0585478507
2018-03-26,1918713.037034804
2018-03-27,1819162.2597333472
2018-03-28,1867841.8344795268
2018-03-29,1784001.4417471318
2018-03-30,2089090.8988124928
2018-03-31,3420302.751610546
2018-04-01,3600178.081377216
2018-04-02,1857857.8656192017
2018-04-03,1770016.379010519
2018-04-04,1828750.1000889777
2018-04-05,1752875.330398457
2018-04-06,2063466.6397842374
2018-04-07,3397413.812119114
2018-04-08,3577040.0000887145
2018-04-09,1831363.009866869
2018-04-10,1737035.8487048245
2018-04-11,1786239.7375107207
2018-04-12,1697982.6171862762
2018-04-13,1993635.1836078025
2018-04-14,3310482.146176531
2018-04-15,3471331.5397209805
2018-04-16,1705764.2266889985
2018-04-17,1591060.0349936388
2018-04-18,1620074.1216264402
2018-04-19,1512517.0552809201
2018-04-20,1790471.1730656778
2018-04-21,3091921.4696185067
2018-04-22,3240344.437939561
2018-04-23,1465937.5973168602
2018-04-24,1346526.743301373
2018-04-25,1375425.0730977573
2018-04-26,1272698.1997713984
2018-04-27,1560668.0717788278
2018-04-28,2877434.4450100698
2018-04-29,3046457.631079438
2018-04-30,1297785.467991495
2018-05-01,1208961.658371392
2018-05-02,1272889.6349179274
2018-05-03,1209105.8679014265
2018-05-04,1539295.4303797572
2018-05-05,2900828.170464378
2018-05-06,3116358.8279622435
2018-05-07,1415073.5771464868
2018-05-08,1373619.611914896
2018-05-09,1483991.3543926417
2018-05-10,1464826.5901755297
2018-05-11,1836944.7182064848
2018-05-12,3236904.840546114
2018-05-13,3486626.423852303
2018-05-14,1814654.4478502942
2018-05-15,1797105.1437678256
2018-05-16,1925565.4592725933
2018-05-17,1918399.1897714694
2018-05-18,2296291.6927604238
2018-05-19,3695810.7373136063
2018-05-20,3939026.153017382
2018-05-21,2254770.2308515897
2018-05-22,2219575.121188063
2018-05-23,2325560.6080075963
2018-05-24,2291725.534750458
2018-05-25,2639475.217360097
2018-05-26,4006162.886457693
2018-05-27,4214688.369638004
2018-05-28,2494736.553819688
2018-05-29,2423692.484306003
2018-05-30,2494507.097448392
2018-05-31,2426967.4685240267
2018-06-01,2743204.488107855
2018-06-02,4081216.5412793513
2018-06-03,4264452.872985443
2018-06-04,2523039.578434134
2018-06-05,2434685.3898955216
2018-06-06,2492541.4785567624
2018-06-07,2416469.2764460705
2018-06-08,2728549.2536540832
2018-06-09,4066609.146021765
2018-06-10,4253815.139359067
2018-06-11,2519908.6806124942
2018-06-12,2442125.730652795
2018-06-13,2513072.2599377437
2018-06-14,2452009.4998435043
2018-06-15,2780381.359603527
2018-06-16,4135361.945518872
2018-06-17,4339466.118700633
2018-06-18,2621805.196139557
2018-06-19,2559024.070275886
2018-06-20,2643193.0347422804
2018-06-21,2593107.3827800066
2018-06-22,2929826.795554034
2018-06-23,4290232.144709893
2018-06-24,4496642.416888436
2018-06-25,2778073.726786876
2018-06-26,2711176.649480418
2018-06-27,2788125.208939371
2018-06-28,2727910.7303216443
2018-06-29,3051872.800320887
2018-06-30,4397245.265576
2018-07-01,4586760.350848017
2018-07-02,2849893.2937365393
2018-07-03,2763784.199356747
2018-07-04,2821110.952172378
2018-07-05,2741366.9047309784
2018-07-06,3046376.0956986193
2018-07-07,4373824.415679407
2018-07-08,4546850.256297395
2018-07-09,2795277.444692682
2018-07-10,2696527.5115018794
2018-07-11,2743485.4033742785
2018-07-12,2655772.5546334293
2018-07-13,2955260.181802176
2018-07-14,4279601.238989337
2018-07-15,4451824.51324676
2018-07-16,2701573.5058003943
2018-07-17,2606026.922978658
2018-07-18,2657774.587427048
2018-07-19,2576102.322792977
2018-07-20,2882518.2635882837
2018-07-21,4214298.584292242
2018-07-22,4394095.649574702
2018-07-23,2651190.762518017
2018-07-24,2562427.8631426487
